[prop_DeleteUnion|
 generated  error   fail   pass /  total     time test name
[ ]      0      0      0      0 / 500000     0.0s test_prop_DeleteUnion
[ ]      0      0      0      0 / 500000     0.0s test_prop_DeleteUnion (generating)
[ ]    396      0      0    112 / 500000     0.1s test_prop_DeleteUnion (collecting)
[ ]    741      0      0    203 / 500000     0.2s test_prop_DeleteUnion (collecting)
[ ]   1091      0      0    287 / 500000     0.3s test_prop_DeleteUnion (collecting)
[ ]   1602      0      0    432 / 500000     0.4s test_prop_DeleteUnion (collecting)
[ ]   1896      0      0    510 / 500000     0.5s test_prop_DeleteUnion (collecting)
[ ]   2218      0      0    587 / 500000     0.6s test_prop_DeleteUnion (collecting)
[ ]   2610      0      0    690 / 500000     0.7s test_prop_DeleteUnion (collecting)
[ ]   3027      0      0    793 / 500000     0.8s test_prop_DeleteUnion (collecting)
[ ]   3351      0      0    880 / 500000     0.9s test_prop_DeleteUnion (collecting)
[ ]   3704      0      0    973 / 500000     1.0s test_prop_DeleteUnion (collecting)
[ ]   4164      0      0   1089 / 500000     1.1s test_prop_DeleteUnion (collecting)
[ ]   4479      0      0   1167 / 500000     1.2s test_prop_DeleteUnion (collecting)
[ ]   4950      0      0   1280 / 500000     1.3s test_prop_DeleteUnion (collecting)
[ ]   5201      0      0   1348 / 500000     1.4s test_prop_DeleteUnion (collecting)
[ ]   5550      0      0   1449 / 500000     1.5s test_prop_DeleteUnion (collecting)
[ ]   5782      0      0   1502 / 500000     1.6s test_prop_DeleteUnion (collecting)
[ ]   6168      0      0   1595 / 500000     1.7s test_prop_DeleteUnion (collecting)
[ ]   6488      0      0   1679 / 500000     1.8s test_prop_DeleteUnion (collecting)
[ ]   6892      0      0   1791 / 500000     1.9s test_prop_DeleteUnion (collecting)
[ ]   7281      0      0   1885 / 500000     2.0s test_prop_DeleteUnion (collecting)
[ ]   7697      0      0   2004 / 500000     2.1s test_prop_DeleteUnion (collecting)
[ ]   8160      0      0   2118 / 500000     2.2s test_prop_DeleteUnion (collecting)
[ ]   8449      0      0   2197 / 500000     2.3s test_prop_DeleteUnion (collecting)
[ ]   8831      0      0   2286 / 500000     2.4s test_prop_DeleteUnion (collecting)
[ ]   9088      0      0   2349 / 500000     2.5s test_prop_DeleteUnion (collecting)
[ ]   9455      0      0   2446 / 500000     2.6s test_prop_DeleteUnion (collecting)
[ ]   9839      0      0   2558 / 500000     2.7s test_prop_DeleteUnion (collecting)
[ ]  10256      0      0   2672 / 500000     2.8s test_prop_DeleteUnion (collecting)
[ ]  10702      0      0   2773 / 500000     2.9s test_prop_DeleteUnion (collecting)
[ ]  11073      0      0   2870 / 500000     3.1s test_prop_DeleteUnion (collecting)
[ ]  11442      0      0   2957 / 500000     3.2s test_prop_DeleteUnion (collecting)
[ ]  11789      0      0   3049 / 500000     3.3s test_prop_DeleteUnion (collecting)
[ ]  12115      0      0   3127 / 500000     3.4s test_prop_DeleteUnion (collecting)
[ ]  12562      0      0   3250 / 500000     3.5s test_prop_DeleteUnion (collecting)
[ ]  12854      0      0   3332 / 500000     3.6s test_prop_DeleteUnion (collecting)
