[prop_UnionDeleteInsert|
 generated  error   fail   pass /  total     time test name
[ ]      0      0      0      0 / 500000     0.0s test_prop_UnionDeleteInsert
[ ]      0      0      0      0 / 500000     0.0s test_prop_UnionDeleteInsert (generating)
[ ]    527      0      0    140 / 500000     0.1s test_prop_UnionDeleteInsert (collecting)
[ ]   1066      0      0    276 / 500000     0.2s test_prop_UnionDeleteInsert (collecting)
[ ]   1693      0      0    457 / 500000     0.3s test_prop_UnionDeleteInsert (collecting)
[ ]   2296      0      0    626 / 500000     0.4s test_prop_UnionDeleteInsert (collecting)
[ ]   2775      0      0    741 / 500000     0.5s test_prop_UnionDeleteInsert (collecting)
[ ]   3304      0      0    880 / 500000     0.6s test_prop_UnionDeleteInsert (collecting)
[ ]   3926      0      0   1038 / 500000     0.7s test_prop_UnionDeleteInsert (collecting)
[ ]   4493      0      0   1172 / 500000     0.8s test_prop_UnionDeleteInsert (collecting)
[ ]   5148      0      0   1341 / 500000     0.9s test_prop_UnionDeleteInsert (collecting)
[ ]   5670      0      0   1472 / 500000     1.0s test_prop_UnionDeleteInsert (collecting)
[ ]   6379      0      0   1668 / 500000     1.1s test_prop_UnionDeleteInsert (collecting)
[ ]   7006      0      0   1837 / 500000     1.2s test_prop_UnionDeleteInsert (collecting)
[ ]   7644      0      0   1986 / 500000     1.3s test_prop_UnionDeleteInsert (collecting)
[ ]   8304      0      0   2138 / 500000     1.4s test_prop_UnionDeleteInsert (collecting)
[ ]   8889      0      0   2301 / 500000     1.5s test_prop_UnionDeleteInsert (collecting)
[ ]   9598      0      0   2495 / 500000     1.6s test_prop_UnionDeleteInsert (collecting)
[ ]  10081      0      0   2611 / 500000     1.7s test_prop_UnionDeleteInsert (collecting)
[ ]  10656      0      0   2759 / 500000     1.8s test_prop_UnionDeleteInsert (collecting)
[ ]  11289      0      0   2923 / 500000     1.9s test_prop_UnionDeleteInsert (collecting)
[ ]  11812      0      0   3056 / 500000     2.0s test_prop_UnionDeleteInsert (collecting)
[ ]  12316      0      0   3191 / 500000     2.1s test_prop_UnionDeleteInsert (collecting)
[ ]  12904      0      0   3345 / 500000     2.2s test_prop_UnionDeleteInsert (collecting)
[ ]  13520      0      0   3524 / 500000     2.3s test_prop_UnionDeleteInsert (collecting)
[ ]  14196      0      0   3685 / 500000     2.4s test_prop_UnionDeleteInsert (collecting)
[ ]  14608      0      0   3770 / 500000     2.5s test_prop_UnionDeleteInsert (collecting)
[ ]  15311      0      0   3944 / 500000     2.6s test_prop_UnionDeleteInsert (collecting)
[ ]  15965      0      0   4118 / 500000     2.7s test_prop_UnionDeleteInsert (collecting)
[ ]  16561      0      0   4269 / 500000     2.8s test_prop_UnionDeleteInsert (collecting)
[ ]  17172      0      0   4432 / 500000     2.9s test_prop_UnionDeleteInsert (collecting)
[ ]  17740      0      0   4574 / 500000     3.0s test_prop_UnionDeleteInsert (collecting)
[ ]  18440      0      0   4752 / 500000     3.1s test_prop_UnionDeleteInsert (collecting)
[ ]  18998      0      0   4888 / 500000     3.2s test_prop_UnionDeleteInsert (collecting)
[ ]  19853      0      0   5100 / 500000     3.3s test_prop_UnionDeleteInsert (collecting)
[ ]  20376      0      0   5246 / 500000     3.4s test_prop_UnionDeleteInsert (collecting)
[ ]  21152      0      0   5428 / 500000     3.5s test_prop_UnionDeleteInsert (collecting)
[ ]  21925      0      0   5634 / 500000     3.6s test_prop_UnionDeleteInsert (collecting)
[ ]  22642      0      0   5825 / 500000     3.7s test_prop_UnionDeleteInsert (collecting)
[ ]  23291      0      0   5986 / 500000     3.8s test_prop_UnionDeleteInsert (collecting)
[ ]  23823      0      0   6125 / 500000     3.9s test_prop_UnionDeleteInsert (collecting)
[ ]  24500      0      0   6282 / 500000     4.0s test_prop_UnionDeleteInsert (collecting)
[ ]  25024      0      0   6427 / 500000     4.1s test_prop_UnionDeleteInsert (collecting)
[ ]  25816      0      0   6652 / 500000     4.2s test_prop_UnionDeleteInsert (collecting)
[ ]  26445      0      0   6804 / 500000     4.3s test_prop_UnionDeleteInsert (collecting)
[ ]  27195      0      0   6987 / 500000     4.4s test_prop_UnionDeleteInsert (collecting)
[ ]  27783      0      0   7143 / 500000     4.5s test_prop_UnionDeleteInsert (collecting)
[ ]  28368      0      0   7298 / 500000     4.6s test_prop_UnionDeleteInsert (collecting)
[ ]  28984      0      0   7461 / 500000     4.7s test_prop_UnionDeleteInsert (collecting)
[ ]  29499      0      0   7609 / 500000     4.8s test_prop_UnionDeleteInsert (collecting)
[ ]  30226      0      0   7813 / 500000     4.9s test_prop_UnionDeleteInsert
[ ]  30860      0      0   7975 / 500000     5.0s test_prop_UnionDeleteInsert (collecting)
[ ]  31304      0      0   8095 / 500000     5.1s test_prop_UnionDeleteInsert (collecting)
[ ]  31892      0      0   8246 / 500000     5.2s test_prop_UnionDeleteInsert (collecting)
[ ]  32696      0      0   8448 / 500000     5.4s test_prop_UnionDeleteInsert (collecting)
[ ]  33232      0      0   8594 / 500000     5.5s test_prop_UnionDeleteInsert (collecting)
[ ]  33814      0      0   8753 / 500000     5.6s test_prop_UnionDeleteInsert (collecting)
[ ]  34507      0      0   8925 / 500000     5.7s test_prop_UnionDeleteInsert (collecting)
[ ]  35217      0      0   9116 / 500000     5.8s test_prop_UnionDeleteInsert (collecting)
[ ]  36118      0      0   9346 / 500000     5.9s test_prop_UnionDeleteInsert (collecting)
[ ]  36648      0      0   9483 / 500000     6.0s test_prop_UnionDeleteInsert (collecting)
[ ]  37274      0      0   9630 / 500000     6.1s test_prop_UnionDeleteInsert (collecting)
[ ]  37870      0      0   9783 / 500000     6.2s test_prop_UnionDeleteInsert (collecting)
[ ]  38804      0      0  10016 / 500000     6.3s test_prop_UnionDeleteInsert (collecting)
[ ]  39420      0      0  10186 / 500000     6.4s test_prop_UnionDeleteInsert (collecting)
[ ]  39924      0      0  10329 / 500000     6.5s test_prop_UnionDeleteInsert (collecting)
[ ]  40438      0      0  10462 / 500000     6.6s test_prop_UnionDeleteInsert (collecting)
[ ]  41194      0      0  10651 / 500000     6.7s test_prop_UnionDeleteInsert (collecting)
[ ]  41714      0      0  10792 / 500000     6.8s test_prop_UnionDeleteInsert (collecting)
[ ]  42377      0      0  10960 / 500000     6.9s test_prop_UnionDeleteInsert (collecting)
[ ]  42962      0      0  11120 / 500000     7.0s test_prop_UnionDeleteInsert (collecting)
[ ]  43618      0      0  11293 / 500000     7.1s test_prop_UnionDeleteInsert (collecting)
[ ]  44193      0      0  11464 / 500000     7.2s test_prop_UnionDeleteInsert (collecting)
[ ]  44959      0      0  11679 / 500000     7.3s test_prop_UnionDeleteInsert (collecting)
[ ]  45492      0      0  11824 / 500000     7.4s test_prop_UnionDeleteInsert (collecting)
[ ]  46080      0      0  11991 / 500000     7.5s test_prop_UnionDeleteInsert
[ ]  46659      0      0  12139 / 500000     7.6s test_prop_UnionDeleteInsert (collecting)
[ ]  47205      0      0  12295 / 500000     7.7s test_prop_UnionDeleteInsert (collecting)
[ ]  47778      0      0  12470 / 500000     7.8s test_prop_UnionDeleteInsert (collecting)
[ ]  48374      0      0  12632 / 500000     7.9s test_prop_UnionDeleteInsert (collecting)
[ ]  49009      0      0  12794 / 500000     8.0s test_prop_UnionDeleteInsert (collecting)
[ ]  49861      0      0  13006 / 500000     8.1s test_prop_UnionDeleteInsert (collecting)
[ ]  50485      0      0  13174 / 500000     8.2s test_prop_UnionDeleteInsert (collecting)
[ ]  51091      0      0  13325 / 500000     8.3s test_prop_UnionDeleteInsert (collecting)
[ ]  51714      0      0  13486 / 500000     8.4s test_prop_UnionDeleteInsert (collecting)
